task,dataset,samples,batches,loss,metric,gap_metric_minus_target,raw_metric,raw_gap_metric_minus_target,normalized_metric,normalized_metric_unit,normalized_gap_metric_minus_target,paper_metric,paper_target,seconds
segmentation,CelebAMaskHQDataset[all:2000],2000,32,0.29545611795037985,0.9176521495578892,,0.9176521495578892,,91.76521495578892,percent,-0.24478504421108482,F1,92.01,77.23746609687805
landmark,W300Dataset-full[all:689],689,11,0.0026205198902806096,6.752822921761408,,6.752822921761408,,6.752822921761408,nme_percent,2.082822921761408,NME,4.67,11.804148197174072
landmark,W300Dataset-common[all:554],554,9,0.0017951745151852567,5.59551022839245,,5.59551022839245,,5.59551022839245,nme_percent,,,,9.622003316879272
landmark,W300Dataset-challenging[all:135],135,3,0.006466882769018412,11.502091983954111,,11.502091983954111,,11.502091983954111,nme_percent,,,,1.514697551727295
headpose,BIWIDataset[all:15678],15678,245,0.6588721528345225,20.64968527657506,,20.64968527657506,,20.64968527657506,degrees,17.12968527657506,MAE,3.52,215.5088551044464
attribute,CelebADataset[all:19962],19962,312,0.2222329411560144,0.9172114632600487,,0.9172114632600487,,91.72114632600487,percent,-0.10885367399512802,Accuracy,91.83,121.53513598442078
attribute,LFWADataset[all:13143],13143,206,2.2400282268385285,0.6105950053202764,,0.6105950053202764,,61.05950053202764,percent,,,,82.41563057899475
age,UTKFaceDataset (age)[all:3556],3556,56,0.33166862717475204,1.1714486613852906,,1.1714486613852906,,1.1714486613852906,years,-2.9985513386147096,MAE,4.17,21.373364448547363
age,FairFaceDataset (age)[all:21908],21908,343,0.9075530975101292,6.299047347161594,,6.299047347161594,,6.299047347161594,years,,,,138.80264163017273
gender,UTKFaceDataset (gender)[all:3556],3556,56,0.03689734909528702,0.9918447694038245,,0.9918447694038245,,99.18447694038245,percent,,,,20.10175895690918
gender,FairFaceDataset (gender)[all:21908],21908,343,0.1741499795792923,0.9311210516706226,,0.9311210516706226,,93.11210516706227,percent,,,,129.99104142189026
race,UTKFaceDataset (race)[all:3556],3556,56,0.11424333340885186,0.9803149606299213,,0.9803149606299213,,98.03149606299213,percent,,,,20.138314962387085
race,FairFaceDataset (race)[all:21908],21908,343,0.99401348716316,0.6458827825451889,,0.6458827825451889,,64.5882782545189,percent,,,,129.8259928226471
visibility,COFWDataset[all:507],507,8,3.480141133069992,0.871263557005555,,0.871263557005555,,87.12635570055551,percent,14.566355700555505,Recall@P80,72.56,2.928745985031128
