task,dataset,samples,batches,loss,metric,gap_metric_minus_target,raw_metric,raw_gap_metric_minus_target,normalized_metric,normalized_metric_unit,normalized_gap_metric_minus_target,paper_metric,paper_target,seconds
segmentation,CelebAMaskHQDataset[subset:8],8,4,2.4437042474746704,0.24212423883286652,,0.24212423883286652,,24.21242388328665,percent,-67.79757611671336,F1,92.01,0.6537895202636719
landmark,W300Dataset[subset:8],8,4,0.30012399703264236,52.52238160687096,,52.52238160687096,,52.52238160687096,nme_percent,47.852381606870956,NME,4.67,0.5685372352600098
headpose,BIWIDataset[subset:8],8,4,0.4995144158601761,0.27094025164842606,,0.27094025164842606,,15.523732919667259,degrees,12.003732919667259,MAE,3.52,0.17901921272277832
attribute,CelebADataset[subset:8],8,4,0.22824911028146744,0.9031250178813934,,0.9031250178813934,,90.31250178813934,percent,-1.517498211860655,Accuracy,91.83,0.1118919849395752
attribute,LFWADataset[subset:8],8,4,1.761911153793335,0.6468750089406967,,0.6468750089406967,,64.68750089406967,percent,,,,0.1075143814086914
age,UTKFaceDataset (age)[subset:8],8,4,1.4889318109112537e-05,0.00022733211517333984,,0.00022733211517333984,,0.00022733211517333984,years,-4.169772667884827,MAE,4.17,0.11051750183105469
age,FairFaceDataset (age)[subset:8],8,4,3.068793296813965,13.006152629852295,,13.006152629852295,,13.006152629852295,years,,,,0.11151432991027832
gender,UTKFaceDataset (gender)[subset:8],8,4,0.023766088113186257,1.0,,1.0,,100.0,percent,,,,0.10602211952209473
gender,FairFaceDataset (gender)[subset:8],8,4,3.991084285764373,0.5,,0.5,,50.0,percent,,,,0.11051416397094727
race,UTKFaceDataset (race)[subset:8],8,4,1.0639377663324012e-06,1.0,,1.0,,100.0,percent,,,,0.10450506210327148
race,FairFaceDataset (race)[subset:8],8,4,3.263451412320137,0.25,,0.25,,25.0,percent,,,,0.10950660705566406
visibility,COFWDataset[subset:8],8,4,3.1902341842651367,0.0,,0.0,,0.0,percent,-72.56,Recall@P80,72.56,0.11181330680847168
