task,dataset,samples,batches,loss,metric,gap_metric_minus_target,raw_metric,raw_gap_metric_minus_target,normalized_metric,normalized_metric_unit,normalized_gap_metric_minus_target,paper_metric,paper_target,seconds
segmentation,CelebAMaskHQDataset[subset:2],2,2,2.220872402191162,0.24302684040129788,,0.24302684040129788,,24.302684040129787,percent,-67.70731595987021,F1,92.01,0.3798494338989258
landmark,W300Dataset[subset:2],2,2,0.24018289148807526,146.61279916763306,,146.61279916763306,,146.61279916763306,nme_percent,141.94279916763307,NME,4.67,0.15979528427124023
headpose,BIWIDataset[subset:2],2,2,0.6840768158435822,20.47385263442993,,20.47385263442993,,20.47385263442993,degrees,16.953852634429932,MAE,3.52,0.06063270568847656
attribute,CelebADataset[subset:2],2,2,0.23815829306840897,0.9000000059604645,,0.9000000059604645,,90.00000059604645,percent,-1.8299994039535505,Accuracy,91.83,0.06799983978271484
attribute,LFWADataset[subset:2],2,2,1.7819823026657104,0.6250000298023224,,0.6250000298023224,,62.50000298023224,percent,,,,0.04600334167480469
age,UTKFaceDataset (age)[subset:2],2,2,1.3538295192461192e-05,7.796287536621094e-05,,7.796287536621094e-05,,7.796287536621094e-05,years,-4.169922037124634,MAE,4.17,0.05835747718811035
age,FairFaceDataset (age)[subset:2],2,2,2.248644769191742,12.415996551513672,,12.415996551513672,,12.415996551513672,years,,,,0.049976348876953125
gender,UTKFaceDataset (gender)[subset:2],2,2,4.172324707951702e-08,1.0,,1.0,,100.0,percent,,,,0.04997730255126953
gender,FairFaceDataset (gender)[subset:2],2,2,8.83198190422263e-05,1.0,,1.0,,100.0,percent,,,,0.05003023147583008
race,UTKFaceDataset (race)[subset:2],2,2,8.344649415903405e-08,1.0,,1.0,,100.0,percent,,,,0.058179616928100586
race,FairFaceDataset (race)[subset:2],2,2,2.10395348072052,0.0,,0.0,,0.0,percent,,,,0.05300188064575195
visibility,COFWDataset[subset:2],2,2,3.2431739568710327,1.0,,1.0,,100.0,percent,27.439999999999998,Recall@P80,72.56,0.05652189254760742
